('goal', 8.68946441235669)
('favourit', 7.996317231796746)
('spirit', 7.996317231796746)
('congrat', 7.080026499922591)
('nice', 6.492239835020471)
('web', 6.386879319362645)
('podcast', 6.386879319362645)
('wonder', 6.29156913955832)
('tweet', 6.20455776256869)
('cool', 6.050407082741432)
('congratul', 5.799092654460526)
('min', 5.799092654460526)
('link', 5.5539701964275405)
('post', 5.078546499712466)
('avail', 5.025902766227044)
('opportun', 4.59511985013459)
('good', 4.4847717929657245)
('mine', 4.344732206178345)
('switzerland', 4.344732206178345)
('masha', 4.344732206178345)
('klaxon', 4.344732206178345)
('control', 4.135587520756149)
('infect', 3.998158615898373)
('dementia', 3.7954260618442905)
('great', 3.7694834865285656)
('inde', 3.6515850256184)
('thank', 3.5714705999399357)
('nail', 3.553918769687442)
('trip', 3.5400132499612953)
('guy', 3.5400132499612953)
('replac', 3.371777131650689)
('soon', 3.3050114353384275)
('ctr', 3.1985268927186983)
('super', 3.1934396596813226)
('keynot', 3.14578456977916)
('awar', 3.14578456977916)
('formal', 3.1299300219586286)
('photographi', 3.0363408494754327)
('pct', 3.0363408494754327)
('africa', 2.9907071056272403)
('workshop', 2.9907071056272403)
('note', 2.9584378450584548)
('consid', 2.9584378450584548)
('in', 2.8964881374522298)
('grad', 2.8964881374522298)
('yesphx', 2.8964881374522298)
('independ', 2.8964881374522298)
('xavpd', 2.8964881374522298)
('edmodo', 2.8964881374522298)
('seven', 2.8964881374522298)
('bethereorbesquar', 2.8964881374522298)
('fincyt', 2.8964881374522298)
('report', 2.872512716595125)
('skill', 2.8390984090089177)
('edu', 2.697421705320551)
('anatomi', 2.6654390772655816)
('compulsori', 2.6654390772655816)
('lens', 2.6654390772655816)
('affili', 2.644009148270742)
('love', 2.6277386039357724)
('bugtraq', 2.5547517277450584)
('concret', 2.530284041229527)
('everyday', 2.530284041229527)
('idea', 2.4879461728261916)
('formallearn', 2.4827041178161973)
('react', 2.4827041178161973)
('redux', 2.4827041178161973)
('fieldbu', 2.4827041178161973)
('flipgrid', 2.4827041178161973)
('powerpoint', 2.4827041178161973)
('pilot', 2.4343900170789334)
('literaci', 2.4343900170789334)
('book', 2.4091317007243997)
('bee', 2.3698539306427335)
('sap', 2.3698539306427335)
('stat', 2.36000883330753)
('servic', 2.3595862494022843)
('find', 2.34106561356211)
('altairvr', 2.2992349810428783)
('fact', 2.2992349810428783)
('blow', 2.2992349810428783)
('drone', 2.28929527409169)
('hapara', 2.2846620662276416)
('singapor', 2.2846620662276416)
('clou', 2.2772556371065744)
('cust', 2.2772556371065744)
('data', 2.273164842982579)
('mooc', 2.257976789853307)
('mlearn', 2.257976789853307)
('succeed', 2.247851421100459)
('stuff', 2.247851421100459)
('visual', 2.247851421100459)
('kudo', 2.247851421100459)
('amaz', 2.2276789538797157)
('nurs', 2.203340956892285)
('simul', 2.203340956892285)
('geek', 2.203340956892285)
('spanish', 2.203340956892285)
('scale', 2.203340956892285)
('traxionico', 2.203340956892285)
('traxion', 2.197224577336219)
('ipad', 2.1960941506126783)
('lea', 2.174659745422697)
('eye', 2.1723661030891726)
('altair', 2.1723661030891726)
('practition', 2.1723661030891726)
('salesenabl', 2.1723661030891726)
('flower', 2.1723661030891726)
('icoinvest', 2.1723661030891726)
('throw', 2.1723661030891726)
('east', 2.1723661030891726)
('coast', 2.1723661030891726)
('vr2learn', 2.1723661030891726)
('lifesci', 2.1723661030891726)
('medtech', 2.1723661030891726)
('akoalway', 2.1723661030891726)
('pedag', 2.1723661030891726)
('som', 2.1723661030891726)
('teachingtool', 2.1723661030891726)
('vmware', 2.1723661030891726)
('takeout', 2.1723661030891726)
('disc', 2.1723661030891726)
('healthcaretrain', 2.1723661030891726)
('rfp', 2.1723661030891726)
('allianc', 2.1723661030891726)
('axon', 2.1723661030891726)
('exemplif', 2.1723661030891726)
('kotlin', 2.1723661030891726)
('botan', 2.1723661030891726)
('garden', 2.1723661030891726)
('memo', 2.1723661030891726)
('resouc', 2.1723661030891726)
('unlocktheedtechbox', 2.1723661030891726)
('ict', 2.1723661030891726)
('sa', 2.1723661030891726)
('ultrasound', 2.1723661030891726)
('radiographi', 2.1723661030891726)
('radiolog', 2.1723661030891726)
('apprenticeship', 2.1723661030891726)
('resolut', 2.1723661030891726)
('aa', 2.1723661030891726)
('duolingo', 2.1723661030891726)
('genderequ', 2.1723661030891726)
('corporaterespons', 2.1723661030891726)
('ob', 2.1723661030891726)
('complianc', 2.1640799450068235)
('skillshar', 2.1640799450068235)
('voic', 2.135149552051012)
('util', 2.1289597731208816)
('earn', 2.1289597731208816)
('know', 2.1117781468510537)
('token', 2.1117781468510537)
('come', 2.0948273710132126)
('vlog', 2.086620014639086)
('tra', 2.086620014639086)
('golf', 2.086620014639086)
('parent', 2.077182740356084)
('udemi', 2.06818592085623)
('elear', 2.0415050182983845)
