('goal', 8.68946441235669)
('favourite', 7.996317231796746)
('wonderful', 7.996317231796746)
('spirit', 7.996317231796746)
('podcasts', 7.996317231796746)
('congrats', 7.080026499922591)
('posted', 6.897704943128636)
('nice', 6.492239835020471)
('web', 6.386879319362645)
('tweet', 6.20455776256869)
('cool', 6.050407082741432)
('congratulation', 5.799092654460526)
('min', 5.799092654460526)
('link', 5.5539701964275405)
('thank', 5.288267030694535)
('available', 5.078546499712466)
('formal', 4.868780034157867)
('opportunity', 4.59511985013459)
('good', 4.4847717929657245)
('in', 4.344732206178345)
('mine', 4.344732206178345)
('switzerland', 4.344732206178345)
('masha', 4.344732206178345)
('klaxon', 4.344732206178345)
('control', 4.135587520756149)
('infection', 3.998158615898373)
('udemy', 3.8778486016054314)
('dementia', 3.7954260618442905)
('great', 3.7694834865285656)
('indeed', 3.6515850256184)
('nail', 3.553918769687442)
('trip', 3.5400132499612953)
('guy', 3.5400132499612953)
('replace', 3.371777131650689)
('soon', 3.3050114353384275)
('ctr', 3.1985268927186983)
('super', 3.1934396596813226)
('awareness', 3.1934396596813226)
('consider', 3.1934396596813226)
('keynote', 3.14578456977916)
('photography', 3.0363408494754327)
('pct', 3.0363408494754327)
('note', 2.9907071056272403)
('africa', 2.9907071056272403)
('workshop', 2.9907071056272403)
('learns', 2.8964881374522298)
('grad', 2.8964881374522298)
('yesphx', 2.8964881374522298)
('independent', 2.8964881374522298)
('xavpd', 2.8964881374522298)
('inspiration', 2.8964881374522298)
('edmodo', 2.8964881374522298)
('seven', 2.8964881374522298)
('prepped', 2.8964881374522298)
('bethereorbesquare', 2.8964881374522298)
('fincyte', 2.8964881374522298)
('report', 2.872512716595125)
('skill', 2.8390984090089177)
('coming', 2.7769850982137703)
('interesting', 2.7769850982137703)
('edu', 2.697421705320551)
('love', 2.6786299510907434)
('anatomy', 2.6654390772655816)
('compulsory', 2.6654390772655816)
('lens', 2.6654390772655816)
('affiliate', 2.644009148270742)
('bugtraq', 2.5547517277450584)
('concrete', 2.530284041229527)
('nurse', 2.530284041229527)
('blow', 2.530284041229527)
('everyday', 2.530284041229527)
('idea', 2.4879461728261916)
('formallearning', 2.4827041178161973)
('react', 2.4827041178161973)
('redux', 2.4827041178161973)
('fieldbus', 2.4827041178161973)
('flipgrid', 2.4827041178161973)
('powerpoint', 2.4827041178161973)
('pilot', 2.4343900170789334)
('visuals', 2.4343900170789334)
('literacy', 2.4343900170789334)
('book', 2.4304115079337976)
('bee', 2.3698539306427335)
('sap', 2.3698539306427335)
('nova', 2.3698539306427335)
('stats', 2.36000883330753)
('achieve', 2.36000883330753)
('service', 2.3595862494022843)
('mooc', 2.34250042732019)
('find', 2.34106561356211)
('altairvr', 2.2992349810428783)
('fact', 2.2992349810428783)
('flipped', 2.2992349810428783)
('parenting', 2.2980101732761002)
('drone', 2.28929527409169)
('hapara', 2.2846620662276416)
('singapore', 2.2846620662276416)
('hacking', 2.2846620662276416)
('mlearning', 2.27749285552108)
('clou', 2.2772556371065744)
('cust', 2.2772556371065744)
('data', 2.273164842982579)
('look', 2.2652906644985094)
('succeed', 2.247851421100459)
('recording', 2.247851421100459)
('stuff', 2.247851421100459)
('kudos', 2.247851421100459)
('ipad', 2.24303032922043)
('amazing', 2.2276789538797157)
('simulation', 2.203340956892285)
('geek', 2.203340956892285)
('podcast', 2.203340956892285)
('spanish', 2.203340956892285)
('elearni', 2.203340956892285)
('scale', 2.203340956892285)
('traxionico', 2.203340956892285)
('traxion', 2.197224577336219)
('app', 2.1765199284481995)
('lea', 2.174659745422697)
('eye', 2.1723661030891726)
('altair', 2.1723661030891726)
('practitioner', 2.1723661030891726)
('salesenablement', 2.1723661030891726)
('flower', 2.1723661030891726)
('icoinvestment', 2.1723661030891726)
('throw', 2.1723661030891726)
('east', 2.1723661030891726)
('coast', 2.1723661030891726)
('vr2learning', 2.1723661030891726)
('lifesciences', 2.1723661030891726)
('medtech', 2.1723661030891726)
('akoalways', 2.1723661030891726)
('pedag', 2.1723661030891726)
('som', 2.1723661030891726)
